symbol,date,close,open,high,low,volume
AU.NH,20100505,1203.7946,1202.2508,1204.4963,1196.263,25670
AU.NH,20100504,1209.7824,1216.2849,1216.6591,1209.7357,25792
AU.NH,20100430,1209.6889,1210.9519,1211.4665,1206.8353,21424
AU.NH,20100429,1202.6251,1201.3152,1203.7478,1200.6135,18210
AU.NH,20100428,1201.3152,1203.4203,1203.6542,1199.9118,26762
AU.NH,20100427,1190.0412,1193.3626,1194.6724,1188.9653,20244
AU.NH,20100426,1194.8128,1192.1931,1196.8711,1191.6317,22348
AU.NH,20100423,1175.399,1174.2295,1176.9428,1174.2295,19102
AU.NH,20100422,1181.1997,1182.6032,1184.755,1180.7319,19294
AU.NH,20100421,1181.4804,1177.4646,1182.5286,1176.7248,21702
AU.NH,20100420,1174.7875,1172.7545,1175.864,1172.137,26272
AU.NH,20100419,1168.0916,1172.2608,1174.3029,1167.661,25654
AU.NH,20100416,1189.4239,1192.1888,1192.9107,1188.7397,13338
AU.NH,20100415,1188.008,1191.7593,1193.8695,1188.008,19648
AU.NH,20100414,1190.8215,1189.1803,1195.6045,1188.6176,29326
AU.NH,20100413,1188.4769,1190.8215,1191.8531,1186.4136,25418
AU.NH,20100412,1197.7146,1201.3722,1201.9818,1197.4333,29834
AU.NH,20100409,1189.6492,1182.7561,1191.0559,1182.2872,38896
AU.NH,20100408,1180.7397,1181.6776,1182.9905,1179.8957,25046
AU.NH,20100407,1175.4878,1172.3929,1175.4878,1170.7986,26214
AU.NH,20100406,1166.2032,1167.61,1168.5478,1163.7648,15086
AU.NH,20100402,1163.0614,1165.2654,1165.3123,1161.6078,22896
AU.NH,20100401,1153.1203,1156.7779,1157.9971,1153.0266,17372
AU.NH,20100331,1150.1662,1149.369,1151.4791,1148.7125,16914
AU.NH,20100330,1155.6994,1152.6045,1156.731,1151.6667,17256
AU.NH,20100329,1153.5893,1150.2599,1154.574,1148.1498,25978
AU.NH,20100326,1143.6013,1134.7856,1143.6482,1134.2698,20724
AU.NH,20100325,1133.8477,1131.7845,1134.7856,1131.0342,24130
AU.NH,20100324,1143.6951,1146.5086,1148.1967,1143.0855,23272
AU.NH,20100323,1146.5086,1147.9153,1148.9001,1146.1334,18974
AU.NH,20100322,1148.8063,1147.4464,1151.1509,1147.3995,20066
AU.NH,20100319,1166.2501,1166.6252,1168.032,1165.2654,14506
AU.NH,20100318,1165.406,1165.7343,1167.3286,1164.1869,15476
AU.NH,20100317,1172.9088,1169.8608,1173.1432,1168.5947,21986
AU.NH,20100316,1155.1367,1150.7757,1157.1999,1150.4006,18508
AU.NH,20100315,1148.8063,1147.4464,1148.8063,1145.3832,18856
AU.NH,20100312,1157.3875,1155.8401,1157.4344,1152.6514,15200
AU.NH,20100311,1153.2141,1153.3079,1155.6994,1151.7605,22830
AU.NH,20100310,1169.6732,1164.7496,1170.8455,1164.6089,19670
AU.NH,20100309,1164.6089,1167.5631,1168.5009,1164.3275,24342
AU.NH,20100308,1181.7244,1177.2697,1182.4278,1176.4257,23844
AU.NH,20100305,1178.3013,1175.5347,1180.4115,1174.2217,19918
AU.NH,20100304,1177.2228,1182.5685,1182.803,1176.2381,30962
AU.NH,20100303,1181.2086,1177.4573,1181.6307,1175.9567,32860
AU.NH,20100302,1160.0135,1161.7485,1164.8902,1157.1531,25030
AU.NH,20100301,1161.936,1167.0004,1167.0004,1159.3101,23298
AU.NH,20100226,1155.4181,1149.6034,1156.3559,1148.3374,32680
AU.NH,20100225,1136.0986,1144.164,1144.164,1133.6602,25456
AU.NH,20100224,1149.1345,1148.8532,1151.0102,1148.2905,16762
AU.NH,20100223,1159.2632,1155.887,1160.3417,1152.839,20166
AU.NH,20100222,1164.4682,1174.1748,1179.333,1164.4682,18686
AU.NH,20100212,1135.7234,1135.5359,1137.1302,1133.8477,13258
AU.NH,20100211,1126.814,1123.0626,1129.1586,1122.9688,12060
AU.NH,20100210,1124.7038,1122.4999,1124.8445,1120.0146,15254
AU.NH,20100209,1118.2327,1108.0572,1120.1553,1107.1193,16322
AU.NH,20100208,1110.6831,1108.995,1112.1837,1107.1193,18478
AU.NH,20100205,1105.5719,1101.9612,1106.1815,1101.3985,36044
AU.NH,20100204,1149.369,1148.8532,1153.8237,1148.056,20746
AU.NH,20100203,1159.357,1157.622,1159.8728,1153.2141,22852
AU.NH,20100202,1147.634,1147.9622,1149.791,1143.9764,34458
AU.NH,20100201,1123.3439,1129.0648,1129.1586,1118.7485,28102
AU.NH,20100129,1122.4061,1125.4541,1129.6744,1122.1248,28116
AU.NH,20100128,1132.1596,1132.9099,1134.6918,1123.5315,36668
AU.NH,20100127,1143.273,1146.8368,1149.5566,1142.007,28326
AU.NH,20100126,1139.9437,1152.4639,1154.8553,1138.1618,38042
AU.NH,20100125,1150.5413,1140.9753,1153.4955,1139.4748,35278
AU.NH,20100122,1140.9753,1139.7092,1144.1171,1137.8805,35632
AU.NH,20100121,1164.3275,1160.5762,1164.3744,1155.9339,39344
AU.NH,20100120,1178.7703,1188.6645,1191.0091,1177.9262,32602
AU.NH,20100119,1183.5063,1183.5532,1186.3668,1181.1617,19770
AU.NH,20100118,1180.7866,1174.6438,1181.912,1171.8771,25628
AU.NH,20100115,1182.6623,1187.3984,1188.9458,1180.7866,25526
AU.NH,20100114,1186.2261,1192.3689,1192.8378,1183.6001,27354
AU.NH,20100113,1175.6754,1176.9884,1176.9884,1169.0167,49880
AU.NH,20100112,1205.8269,1204.4202,1207.4681,1197.527,38582
AU.NH,20100111,1204.4202,1207.4681,1211.876,1203.5292,51848
AU.NH,20100108,1170.2359,1178.02,1178.02,1167.61,53960
AU.NH,20100107,1183.3657,1196.2141,1198.0897,1177.9262,87168
AU.NH,20100106,1177.4573,1177.0353,1187.0232,1175.0658,74530
AU.NH,20100105,1187.4453,1172.2992,1187.6797,1170.9393,75182
AU.NH,20100104,1153.3548,1150.6351,1160.2479,1146.8837,58184
AU.NH,20091231,1160.6231,1142.6634,1160.9513,1142.2883,52612
AU.NH,20091230,1141.3036,1139.4748,1144.0233,1138.3963,44312
AU.NH,20091229,1155.4181,1155.1367,1156.8248,1147.8216,52474
AU.NH,20091228,1162.827,1153.5424,1168.032,1151.6667,55148
AU.NH,20091225,1155.1836,1151.1978,1155.7932,1146.5555,39694
AU.NH,20091224,1151.7136,1137.5991,1153.3548,1134.7856,74370
AU.NH,20091223,1131.5032,1130.5653,1135.5359,1127.8456,56734
AU.NH,20091222,1136.8019,1138.6307,1141.2098,1136.3799,46972
AU.NH,20091221,1157.2937,1158.2785,1162.2643,1154.0582,58748
AU.NH,20091218,1150.7289,1151.6667,1154.0113,1145.6645,76684
AU.NH,20091217,1171.0331,1191.0559,1192.2751,1170.5173,92842
AU.NH,20091216,1183.4594,1167.3286,1183.7408,1165.7343,88402
AU.NH,20091215,1164.3744,1167.3755,1179.5674,1163.3897,71098
AU.NH,20091214,1170.8924,1158.2316,1171.7365,1157.2937,68650
AU.NH,20091211,1175.5816,1172.3929,1178.3482,1169.6263,54246
AU.NH,20091210,1168.876,1170.4704,1174.1748,1163.4366,58868
AU.NH,20091209,1166.9066,1167.8444,1174.8313,1166.297,68528
AU.NH,20091208,1199.9654,1206.9992,1206.9992,1197.7615,67094
AU.NH,20091207,1194.8542,1191.0559,1199.8247,1187.3046,103612
AU.NH,20091204,1246.3885,1241.8868,1247.3263,1237.479,82558
AU.NH,20091203,1254.5946,1266.8803,1268.3808,1250.4212,95860
AU.NH,20091202,1254.3601,1240.7614,1256.8923,1239.3547,87794
AU.NH,20091201,1216.0494,1218.5815,1219.66,1212.6263,40870
AU.NH,20091130,1210.8912,1212.1573,1220.3634,1200.9033,91632
AU.NH,20091127,1205.2173,1223.8803,1231.5237,1200.4343,103044
AU.NH,20091126,1228.1944,1224.3961,1237.2914,1224.3492,84720
AU.NH,20091125,1216.0494,1200.3874,1216.7059,1199.7779,71718
AU.NH,20091124,1195.9796,1191.0559,1202.2631,1190.8684,46078
